tmpcodeclist	<808 éléments>	QList<>
 [459]	"ibm-866"	
 [460]	"IBM866"	
 [461]	"cp866"	
 [462]	"866"	
 [463]	"csIBM866"	
 [464]	"windows-866"	
 [465]	"ibm-868_P100-1995"	
 [466]	"ibm-868"	
 [467]	"IBM868"	
 [468]	"CP868"	
 [469]	"868"	
 [470]	"csIBM868"	
 [471]	"cp-ar"	
 [472]	"ibm-869_P100-1995"	
 [473]	"ibm-869"	
 [474]	"IBM869"	
 [475]	"cp869"	
 [476]	"869"	
 [477]	"cp-gr"	
 [478]	"csIBM869"	
 [479]	"windows-869"	
 [480]	"ibm-878_P100-1996"	
 [481]	"ibm-878"	
 [482]	"KOI8-R"	
 [483]	"koi8"	
 [484]	"csKOI8R"	
 [485]	"windows-20866"	
 [486]	"cp878"	
 [487]	"ibm-1168_P100-2002"	
 [488]	"ibm-1168"	
 [489]	"KOI8-U"	
 [490]	"windows-21866"	
 [491]	"ibm-5346_P100-1998"	
 [492]	"ibm-5346"	
 [493]	"windows-1250"	
 [494]	"cp1250"	
 [495]	"ibm-5347_P100-1998"	
 [496]	"ibm-5347"	
 [497]	"windows-1251"	
 [498]	"cp1251"	
 [499]	"ANSI1251"	
 [500]	"ibm-5348_P100-1997"	
 [501]	"ibm-5348"	
 [502]	"windows-1252"	
 [503]	"cp1252"	
 [504]	"ibm-5349_P100-1998"	
 [505]	"ibm-5349"	
 [506]	"windows-1253"	
 [507]	"cp1253"	
 [508]	"ibm-5350_P100-1998"	
 [509]	"ibm-5350"	
 [510]	"windows-1254"	
 [511]	"cp1254"	
 [512]	"ibm-9447_P100-2002"	
 [513]	"ibm-9447"	
 [514]	"windows-1255"	
 [515]	"cp1255"	
 [516]	"ibm-9448_X100-2005"	
 [517]	"ibm-9448"	
 [518]	"windows-1256"	
 [519]	"cp1256"	
 [520]	"x-windows-1256S"	
 [521]	"ibm-9449_P100-2002"	
 [522]	"ibm-9449"	
 [523]	"windows-1257"	
 [524]	"cp1257"	
 [525]	"ibm-5354_P100-1998"	
 [526]	"ibm-5354"	
 [527]	"windows-1258"	
 [528]	"cp1258"	
 [529]	"macos-0_2-10.2"	
 [530]	"macintosh"	
 [531]	"mac"	
 [532]	"csMacintosh"	
 [533]	"windows-10000"	
 [534]	"macroman"	
 [535]	"x-macroman"	
 [536]	"macos-6_2-10.4"	
 [537]	"x-mac-greek"	
 [538]	"windows-10006"	
 [539]	"macgr"	
 [540]	"x-MacGreek"	
 [541]	"macos-7_3-10.2"	
 [542]	"x-mac-cyrillic"	
 [543]	"windows-10007"	
 [544]	"mac-cyrillic"	
 [545]	"maccy"	
 [546]	"x-MacCyrillic"	
 [547]	"x-MacUkraine"	
 [548]	"macos-29-10.2"	
 [549]	"x-mac-centraleurroman"	
 [550]	"windows-10029"	
 [551]	"x-mac-ce"	
 [552]	"macce"	
 [553]	"maccentraleurope"	
 [554]	"x-MacCentralEurope"	
 [555]	"macos-35-10.2"	
 [556]	"x-mac-turkish"	
 [557]	"windows-10081"	
 [558]	"mactr"	
 [559]	"x-MacTurkish"	
 [560]	"ibm-1051_P100-1995"	
 [561]	"ibm-1051"	
 [562]	"hp-roman8"	
 [563]	"roman8"	
 [564]	"r8"	
 [565]	"csHPRoman8"	
 [566]	"x-roman8"	
 [567]	"ibm-1276_P100-1995"	
 [568]	"ibm-1276"	
 [569]	"Adobe-Standard-Encoding"	
 [570]	"csAdobeStandardEncoding"	
 [571]	"ISO_2022,locale=ja,version=0"	
 [572]	"ISO-2022-JP"	
 [573]	"csISO2022JP"	
 [574]	"x-windows-iso2022jp"	
 [575]	"x-windows-50220"	
 [576]	"ISO_2022,locale=ja,version=1"	
 [577]	"ISO-2022-JP-1"	
 [578]	"JIS_Encoding"	
 [579]	"csJISEncoding"	
 [580]	"ibm-5054"	
 [581]	"JIS"	
 [582]	"x-windows-50221"	
 [583]	"ISO_2022,locale=ja,version=2"	
 [584]	"ISO-2022-JP-2"	
 [585]	"csISO2022JP2"	
 [586]	"ISO_2022,locale=ko,version=0"	
 [587]	"ISO-2022-KR"	
 [588]	"csISO2022KR"	
 [589]	"ISO_2022,locale=zh,version=0"	
 [590]	"ISO-2022-CN"	
 [591]	"csISO2022CN"	
 [592]	"x-ISO-2022-CN-GB"	
 [593]	"ISO_2022,locale=zh,version=1"	
 [594]	"ISO-2022-CN-EXT"	
 [595]	"HZ"	
 [596]	"HZ-GB-2312"	
 [597]	"ibm-37_P100-1995"	
 [598]	"ibm-37"	
 [599]	"IBM037"	
 [600]	"ibm-037"	
 [601]	"ebcdic-cp-us"	
 [602]	"ebcdic-cp-ca"	
 [603]	"ebcdic-cp-wt"	
 [604]	"ebcdic-cp-nl"	
 [605]	"csIBM037"	
 [606]	"cp037"	
 [607]	"037"	
 [608]	"cpibm37"	
 [609]	"cp37"	
 [610]	"ibm-273_P100-1995"	
 [611]	"ibm-273"	
 [612]	"IBM273"	
 [613]	"CP273"	
 [614]	"csIBM273"	
 [615]	"ebcdic-de"	
 [616]	"273"	
 [617]	"ibm-277_P100-1995"	
 [618]	"ibm-277"	
 [619]	"IBM277"	
 [620]	"cp277"	
 [621]	"EBCDIC-CP-DK"	
 [622]	"EBCDIC-CP-NO"	
 [623]	"csIBM277"	
 [624]	"ebcdic-dk"	
 [625]	"277"	
 [626]	"ibm-278_P100-1995"	
